iter	MAE
243	1.334814718
244	1.331868158
245	1.327973328
246	1.324650427
247	1.318634986
248	1.314986279
249	1.308974043
250	1.304983863
251	1.301994604
252	1.299544959
253	1.295746467
254	1.292643762
255	1.289295757
256	1.28602816
257	1.278781557
258	1.272873831
259	1.26850594
260	1.263799128
261	1.261823042
262	1.260173241
263	1.256659795
264	1.25160015
265	1.246564509
266	1.242409705
267	1.240665522
268	1.235955715
269	1.231981104
270	1.226985189
271	1.223089382
272	1.219314021
273	1.217460323
274	1.213345667
275	1.206953808
276	1.20369294
277	1.20007482
278	1.195113467
279	1.18640969
280	1.183566706
281	1.180524213
282	1.172817122
283	1.169113775
284	1.167305546
285	1.162454976
286	1.159062174
287	1.15595922
288	1.151230998
289	1.144715804
290	1.141384028
291	1.135950421
292	1.132255148
293	1.125741815
294	1.122715865
295	1.119492201
296	1.116857718
297	1.112606753
298	1.108771059
299	1.103467682
300	1.100147458
301	1.097558191
302	1.093467064
303	1.08744726
304	1.083743919
305	1.079792421
306	1.075442021
307	1.070829786
308	1.068290236
309	1.06408819
310	1.061042316
311	1.058069168
312	1.056241617
313	1.051320973
314	1.050024329
315	1.047497522
316	1.045110698
317	1.043612186
318	1.040946192
319	1.036969259
320	1.033738951
321	1.030020613
322	1.024576162
323	1.020571769
324	1.018337719
325	1.015122438
326	1.012083547
327	1.010285951
328	1.008934994
329	1.005748498
330	1.001484687
331	1.000553778
332	0.9991469522
333	0.9970735718
334	0.9946205537
335	0.993290407
336	0.9894479416
337	0.9884040979
338	0.9867244317
339	0.9846670011
340	0.9811255439
341	0.9786510928
342	0.9758711642
343	0.9732695857
344	0.9700776379
345	0.9678642321
346	0.9666356591
347	0.9644135961
348	0.9635970588
349	0.9628486914
350	0.9588264197
351	0.9569731556
352	0.9539378112
353	0.9524679398
354	0.94932841
355	0.9481747125
356	0.9438706953
357	0.9424101363
358	0.9397136719
359	0.9384397471
360	0.9356356407
361	0.9346870927
362	0.9338525715
363	0.9290844546
364	0.92677065
365	0.9245458413
366	0.9232693384
367	0.9205790396
368	0.9179311736
369	0.9166407218
370	0.9116774868
371	0.9098164222
372	0.9052700744
373	0.9015241502
374	0.8988747783
375	0.8960237453
376	0.8908892625
377	0.8887236982
378	0.8856041915
379	0.8836308704
380	0.8823247698
381	0.878237213
382	0.8757026592
383	0.8709831362
384	0.8692422615
385	0.866211867
386	0.8637810389
387	0.8607689674
388	0.8583834981
389	0.8575412935
390	0.8561980611
391	0.8539625395
392	0.8517123093
393	0.8484154458
394	0.8462519348
395	0.8446627934
396	0.8435621179
397	0.8420114891
398	0.8400204424
399	0.8370961245
400	0.8359775296
401	0.8345600895
402	0.8334027948
403	0.8301364907
404	0.8288823656
405	0.8260262546
406	0.824182822
407	0.821897513
408	0.8177204548
409	0.8166133597
410	0.8156257563
411	0.8141271705
412	0.812425214
413	0.8092520865
414	0.8076783971
415	0.8063434447
416	0.8037010048
417	0.802499235
418	0.7991872408
419	0.7987029329
420	0.797705424
421	0.7964689331
422	0.7960172277
423	0.7958163131
424	0.7953176732
425	0.7935096755
426	0.7918480378
427	0.7909641639
428	0.7903109068
429	0.788325265
430	0.7861894331
431	0.7844652237
432	0.7836945894
433	0.7828114046
434	0.7824609383
435	0.7814677692
436	0.7803897985
437	0.778571985
438	0.7763020999
439	0.7753122205
440	0.7746555296
441	0.77325153
442	0.7715230735
443	0.76995523
444	0.765717642
445	0.764583288
446	0.7615556531
447	0.7602929081
448	0.7595097376
449	0.7583411735
450	0.757146381
451	0.7545018259
452	0.7533777388
453	0.7522375568
454	0.7508242286
455	0.7483732863
456	0.7457108326
457	0.7451955554
458	0.7444091516
459	0.7436378194
460	0.7422283728
461	0.7411371391
462	0.7369465579
463	0.7341811239
464	0.7334810145
465	0.7318894718
466	0.7311052174
467	0.7286730911
468	0.7270673255
469	0.7258843969
470	0.7242523722
471	0.7229294918
472	0.7221110637
473	0.7208876639
474	0.7177677882
475	0.7172984982
476	0.7165611496
477	0.7160205189
478	0.7148193969
479	0.7132136152
480	0.7109538712
481	0.7092315855
482	0.7064742818
483	0.7041092876
484	0.7034834743
485	0.7024423054
486	0.7006843375
487	0.6996491217
488	0.6994836201
489	0.6962595278
490	0.6951056693
491	0.6937720064
492	0.692732107
493	0.6911955448
494	0.6900581502
495	0.6880501267
496	0.686960518
497	0.6861078666
498	0.6846687937
499	0.6827040588
500	0.6821296168
501	0.6808552521
502	0.6800463
503	0.6769890082
504	0.6739383335
505	0.6714101691
506	0.6675431701
507	0.6654242611
508	0.6647858754
509	0.6637867074
510	0.6616926053
511	0.661009452
512	0.6596284599
513	0.6586104539
514	0.657397899
515	0.6561138294
516	0.6546644633
517	0.6530833292
518	0.6518255036
519	0.6507699873
520	0.6490085258
521	0.6484176829
522	0.645239434
523	0.6434086616
524	0.6424562025
525	0.6410400723
526	0.6401240789
527	0.6386767014
528	0.6374716797
529	0.6348321426
530	0.6340255135
531	0.6317738164
532	0.6311102027
533	0.6296257073
534	0.6277214083
535	0.6248895204
536	0.6230573874
537	0.6221826847
538	0.6212182783
539	0.6203252692
540	0.6189812229
541	0.6181097201
542	0.6167521323
543	0.6143079068
544	0.6127969589
545	0.6110726263
546	0.6100839676
547	0.6096120574
548	0.6069569274
549	0.6054138927
550	0.6040762029
551	0.602436247
552	0.5992440225
553	0.598470237
554	0.5969769986
555	0.5966148434
556	0.5959317632
557	0.5951485319
558	0.5946584479
559	0.5941208398
560	0.5925655607
561	0.5914371256
562	0.5909289055
563	0.5902813645
564	0.5890697335
565	0.5877070473
566	0.5863060154
567	0.5843758454
568	0.5836135437
569	0.5832559925
570	0.5811876666
571	0.5804963744
572	0.5802803964
573	0.5777536943
574	0.5769213334
575	0.5761216673
576	0.5755673662
577	0.574588898
578	0.5738837739
579	0.5729320022
580	0.5712626585
581	0.5705496217
582	0.5702717736
583	0.5695559208
584	0.5685990713
585	0.5680946039
586	0.5671131022
587	0.5665425353
588	0.5654563893
589	0.5645131295
590	0.5623501533
591	0.5615491013
592	0.5595719862
593	0.5588341588
594	0.5578972061
595	0.5562145003
596	0.5554525432
597	0.554006296
598	0.5531760977
599	0.5497291362
600	0.5479189103
601	0.5471117349
602	0.5455607649
603	0.5442606285
604	0.543724971
605	0.5433310729
606	0.5421770706
607	0.5417609013
608	0.5412943797
609	0.5410386455
610	0.5405617424
611	0.5398813597
612	0.5394742038
613	0.5393098741
614	0.5388305402
615	0.5382054633
616	0.5363637097
617	0.5361954619
618	0.5357188885
619	0.5344238507
620	0.5334287273
621	0.5326327908
622	0.5317898153
623	0.5312919059
624	0.5310568781
625	0.5283279124
626	0.5277744261
627	0.5274810608
628	0.5268870651
629	0.5265174397
630	0.5258756043
631	0.5252030442
632	0.5241249903
633	0.5237630228
634	0.5235775706
635	0.5230068437
636	0.5223566015
637	0.5210275595
638	0.5204235762
639	0.5193667134
640	0.5181150696
641	0.5174522069
642	0.5172684984
643	0.5169702332
644	0.5145163556
645	0.5124297995
646	0.5120499706
647	0.5113081652
648	0.511129742
649	0.5097548979
650	0.509221735
651	0.5084637843
652	0.5081056971
653	0.5077789024
654	0.5069141724
655	0.5058902363
656	0.5055340943
657	0.5049375945
658	0.5045887432
659	0.5038815434
660	0.5022586712
661	0.5018583724
662	0.5013713075
663	0.5008936664
664	0.5005194944
665	0.5001099301
666	0.4995719398
667	0.4988658382
668	0.4986530686
669	0.4984604259
670	0.4983880261
671	0.4981057993
672	0.4978472263
673	0.4976489581
674	0.4968636046
675	0.496011568
676	0.4953637671
677	0.4949920721
678	0.4948274925
679	0.494446703
680	0.4941854436
681	0.4932773872
682	0.4931526381
683	0.492780533
684	0.4925275089
685	0.4906564408
686	0.4904468505
687	0.4890434591
688	0.4880482606
689	0.4876073846
690	0.4873283294
691	0.4865241372
692	0.4852974044
693	0.4840935107
694	0.483863115
695	0.4835783376
696	0.4819210297
697	0.4813291199
698	0.4811912056
699	0.4805806151
700	0.4795544233
701	0.4789506124
702	0.477946003
703	0.4777133032
704	0.4766887883
705	0.4758348534
706	0.4755950447
707	0.4749700697
708	0.4737131715
709	0.4731416193
710	0.4728614684
711	0.4718252873
712	0.4708617196
713	0.4703716314
714	0.4694209359
715	0.469231576
716	0.4688077111
717	0.4679274033
718	0.4675734563
719	0.4673052582
720	0.4666914308
721	0.4661432712
722	0.4653850933
723	0.4651375154
724	0.4642823829
725	0.4637204551
726	0.4635435579
727	0.4624465035
728	0.4606732882
729	0.4604927349
730	0.4593057568
731	0.4589636935
732	0.4587066988
733	0.4583512581
734	0.4581679548
735	0.4579933437
736	0.4578923021
737	0.4576486709
738	0.456804768
739	0.4560120863
740	0.454808814
741	0.4546925352
742	0.4544783676
743	0.4523936488
744	0.4523298844
745	0.4513374449
746	0.4508390069
747	0.4506890914
748	0.4504712714
749	0.4501931281
750	0.4498935943
751	0.4482789474
752	0.4473613079
753	0.4470534169
754	0.4467083149
755	0.4464937372
756	0.446103042
757	0.4444517684
758	0.4430935399
759	0.4425043448
760	0.4421057699
761	0.4417390711
762	0.4403879482
763	0.4399189565
764	0.4394276172
765	0.4392732417
766	0.4386009332
767	0.4381663856
768	0.4380182237
769	0.4376340852
770	0.4373598856
771	0.4369955388
772	0.4368548313
773	0.4365545026
774	0.4365087186
775	0.4360691221
776	0.4355445887
777	0.4351625465
778	0.4349714747
779	0.4345820153
780	0.4343668363
781	0.4340561933
782	0.4337205855
783	0.4334014266
784	0.4327104621
785	0.4324252996
786	0.4321207264
787	0.4315718535
788	0.4300668923
789	0.4297893193
790	0.4292472758
791	0.4285401614
792	0.4281435975
793	0.4278849845
794	0.4277272848
795	0.4273686584
796	0.4265602515
797	0.4262579311
798	0.4254095462
799	0.4247343975
